_id,count,location,time,__v
6386129d7c1400a6896c7663,0,Marketing Raum EG,2022-11-29T14:09:33.605Z,0
638612ac7c1400a6896c7665,1,Marketing Raum EG,2022-11-29T14:09:48.365Z,0
638612ac7c1400a6896c7667,2,Marketing Raum EG,2022-11-29T14:09:48.563Z,0
638612ae7c1400a6896c7669,3,Marketing Raum EG,2022-11-29T14:09:50.606Z,0
638614f67c1400a6896c766b,2,Marketing Raum EG,2022-11-29T14:19:34.329Z,0
638616547c1400a6896c766d,3,Marketing Raum EG,2022-11-29T14:25:24.388Z,0
638616747c1400a6896c766f,2,Marketing Raum EG,2022-11-29T14:25:56.653Z,0
638616797c1400a6896c7671,1,Marketing Raum EG,2022-11-29T14:26:01.630Z,0
638619f77c1400a6896c7673,0,Marketing Raum EG,2022-11-29T14:40:55.344Z,0
63861a497c1400a6896c7675,1,Marketing Raum EG,2022-11-29T14:42:17.382Z,0
63861b077c1400a6896c7677,2,Marketing Raum EG,2022-11-29T14:45:27.661Z,0
63861b797c1400a6896c7679,1,Marketing Raum EG,2022-11-29T14:47:21.647Z,0
63861f6d7c1400a6896c767b,0,Marketing Raum EG,2022-11-29T15:04:13.148Z,0
63861fea7c1400a6896c767d,1,Marketing Raum EG,2022-11-29T15:06:18.751Z,0
638621e97c1400a6896c767f,0,Marketing Raum EG,2022-11-29T15:14:49.499Z,0
638622ad7c1400a6896c7681,1,Marketing Raum EG,2022-11-29T15:18:05.287Z,0
638623307c1400a6896c7683,0,Marketing Raum EG,2022-11-29T15:20:16.253Z,0
638711987c1400a6896c7685,1,Marketing Raum EG,2022-11-30T08:17:28.920Z,0
6387123b7c1400a6896c7687,0,Marketing Raum EG,2022-11-30T08:20:11.999Z,0
638712867c1400a6896c7689,1,Marketing Raum EG,2022-11-30T08:21:26.661Z,0
6387150b7c1400a6896c768b,2,Marketing Raum EG,2022-11-30T08:32:11.594Z,0
6387159f7c1400a6896c768d,1,Marketing Raum EG,2022-11-30T08:34:39.624Z,0
638716277c1400a6896c768f,2,Marketing Raum EG,2022-11-30T08:36:55.646Z,0
6387167d7c1400a6896c7691,1,Marketing Raum EG,2022-11-30T08:38:21.502Z,0
6387170f7c1400a6896c7693,2,Marketing Raum EG,2022-11-30T08:40:47.586Z,0
6387180d7c1400a6896c7695,3,Marketing Raum EG,2022-11-30T08:45:01.165Z,0
638718737c1400a6896c7697,2,Marketing Raum EG,2022-11-30T08:46:43.828Z,0
63871ca67c1400a6896c7699,1,Marketing Raum EG,2022-11-30T09:04:38.694Z,0
63871e837c1400a6896c769b,2,Marketing Raum EG,2022-11-30T09:12:35.930Z,0
638725607c1400a6896c769d,3,Marketing Raum EG,2022-11-30T09:41:52.800Z,0
638727b27c1400a6896c769f,2,Marketing Raum EG,2022-11-30T09:51:46.384Z,0
638727bc7c1400a6896c76a1,1,Marketing Raum EG,2022-11-30T09:51:56.167Z,0
6387286e7c1400a6896c76a3,2,Marketing Raum EG,2022-11-30T09:54:54.187Z,0
6387287b7c1400a6896c76a5,1,Marketing Raum EG,2022-11-30T09:55:07.290Z,0
63872bb87c1400a6896c76a7,0,Marketing Raum EG,2022-11-30T10:08:56.646Z,0
63872ca57c1400a6896c76a9,1,Marketing Raum EG,2022-11-30T10:12:53.577Z,0
63872d407c1400a6896c76ab,2,Marketing Raum EG,2022-11-30T10:15:28.288Z,0
63872d4d7c1400a6896c76ad,1,Marketing Raum EG,2022-11-30T10:15:41.370Z,0
63872d6f7c1400a6896c76af,2,Marketing Raum EG,2022-11-30T10:16:15.517Z,0
63872f097c1400a6896c76b1,3,Marketing Raum EG,2022-11-30T10:23:05.484Z,0
638734b07c1400a6896c76b3,2,Marketing Raum EG,2022-11-30T10:47:12.654Z,0
638737867c1400a6896c76b5,1,Marketing Raum EG,2022-11-30T10:59:18.371Z,0
638737867c1400a6896c76b7,0,Marketing Raum EG,2022-11-30T10:59:18.513Z,0
638737927c1400a6896c76b9,1,Marketing Raum EG,2022-11-30T10:59:30.844Z,0
6387386b7c1400a6896c76bb,0,Marketing Raum EG,2022-11-30T11:03:07.025Z,0
638738c57c1400a6896c76bd,1,Marketing Raum EG,2022-11-30T11:04:37.273Z,0
638738c77c1400a6896c76bf,2,Marketing Raum EG,2022-11-30T11:04:39.098Z,0
63873cd07c1400a6896c76c1,3,Marketing Raum EG,2022-11-30T11:21:52.827Z,0
63873cd37c1400a6896c76c3,4,Marketing Raum EG,2022-11-30T11:21:55.824Z,0
63873e167c1400a6896c76c5,5,Marketing Raum EG,2022-11-30T11:27:18.665Z,0
63873e737c1400a6896c76c7,4,Marketing Raum EG,2022-11-30T11:28:51.991Z,0
63873e747c1400a6896c76c9,3,Marketing Raum EG,2022-11-30T11:28:52.313Z,0
63873e927c1400a6896c76cb,2,Marketing Raum EG,2022-11-30T11:29:22.589Z,0
63873ebb7c1400a6896c76cd,1,Marketing Raum EG,2022-11-30T11:30:03.818Z,0
63873ebf7c1400a6896c76cf,0,Marketing Raum EG,2022-11-30T11:30:07.917Z,0
638740c97c1400a6896c76d1,1,Marketing Raum EG,2022-11-30T11:38:49.965Z,0
